Wasserstoff, H
Helium, He
Lithium, Li
Beryllium, Be
Bor, B
Kohlenstoff, C
Stickstoff, N
Sauerstoff, O
Fluor, F
Neon, Ne
Natrium, Na
Magnesium, Mg
Aluminium, Al
Silicium, Si
Phosphor, P
Schwefel, S
Chlor, Cl
Argon, Ar
Kalium, K
Calcium, Ca
Scandium, Sc
Titan, Ti
Vanadium, V
Chrom, Cr
Mangan, Mn
Eisen, Fe
Cobalt, Co
Nickel, Ni
Kupfer, Cu
Zink, Zn
Gallium, Ga
Germanium, Ge
Arsen, As
Selen, Se
Brom, Br
Krypton, Kr
Rubidium, Rb
Strontium, Sr
Yttrium, Y
Zirconium, Zr
Niob, Nb
Molybdän, Mo
Technetium, Tc
Ruthenium, Ru
Rhodium, Rh
Palladium, Pd
Silber, Ag
Cadmium, Cd
Indium, In
Zinn, Sn
Antimon, Sb
Tellur, Te
Iod, I
Xenon, Xe
Caesium, Cs
Barium, Ba
Lanthan, La
Cer, Ce
Praseodym, Pr
Neodym, Nd
Promethium, Pm
Samarium, Sm
Europium, Eu
Gadolinium, Gd
Terbium, Tb
Dysprosium, Dy
Holmium, Ho
Erbium, Er
Thulium, Tm
Ytterbium, Yb
Lutetium, Lu
Hafnium, Hf
Tantal, Ta
Wolfram, W
Rhenium, Re
Osmium, Os
Iridium, Ir
Platin, Pt
Gold, Au
Quecksilber, Hg
Thallium, Tl
Blei, Pb
Bismut, Bi
Polonium, Po
Astat, At
Radon, Rn
Francium, Fr
Radium, Ra
Actinium, Ac
Thorium, Th
Protactinium, Pa
Uran, U
Neptunium, Np
Plutonium, Pu
Americium, Am
Curium, Cm
Berkelium, Bk
Californium, Cf
Einsteinium, Es
Fermium, Fm
Mendelevium, Md
Nobelium, No
Lawrencium, Lr
Rutherfordium, Rf
Dubnium, Db
Seaborgium, Sg
Bohrium, Bh
Hassium, Hs
Meitnerium, Mt
Darmstadtium, Ds
Roentgenium, Rg
Copernicium, Cn
Nihonium, Nh
Flerovium, Fl
Moscovium, Mc
Livermorium, Lv
Tenness, Ts
Oganesson, Og
